MUSIC
--------------------------------------------------------------------------------------------
ac_dnbpor			Strike
tax2020_3			Strike
the_bards_tale			https://www.newgrounds.com/audio/listen/784979
lament_for_a_warriors_soul	https://www.newgrounds.com/audio/listen/787953
Glorious-Return			https://www.newgrounds.com/audio/listen/1011540
old_merchant			https://www.newgrounds.com/audio/listen/741030


SOUND EFFECTS
--------------------------------------------------------------------------------------------
portal				Strike
lifestone			Strike
candle				https://www.youtube.com/watch?v=qOhUpdIWrMs
gasflame			https://freesound.org/people/neilraouf/sounds/435643/
waterfountain			https://freesound.org/people/roscoetoon/sounds/26402/
casino				https://freesound.org/people/DylanTheFish/sounds/443455/
pub				https://freesound.org/people/Islabonita/sounds/178525/
simmering			https://freesound.org/people/Selector/sounds/415892/
campfire			https://freesound.org/people/florianreichelt/sounds/563764/
forge				https://freesound.org/people/joe_anderson22/sounds/390562/
fart				https://freesound.org/people/kuchtaa/sounds/555418/
anvil				https://freesound.org/people/kyles/sounds/452584/
kegpour				https://freesound.org/people/euphorix/sounds/474245/
bedtime				https://freesound.org/people/kgatto/sounds/240271/
crying_female			https://freesound.org/people/Idalize/sounds/408211/
towncrier_f_unwanteditems	https://ttsreader.com/
towncrier_m_unwanteditems	https://ttsreader.com/
collector_f_creatureparts	https://ttsreader.com/
collector_m_creatureparts	https://ttsreader.com/
arcanum_f_forstudy		https://ttsreader.com/
arcanum_m_forstudy		https://ttsreader.com/
ivorycrafter_f_carve		https://ttsreader.com/
ivorycrafter_m_carve		https://ttsreader.com/
leathercrafter_f_hides		https://ttsreader.com/
leathercrafter_m_hides		https://ttsreader.com/
